EMPCT;CONVOCADO;MATRICULADO
33969;S;S
4598;S;S
59676;S;
50609;S;S
13658;S;S
56252;S;
14429;S;S
65425;S;
39491;S;
7268;S;S
34736;S;S
28164;S;
34536;S;
47457;S;
27257;S;S
119;S;S
20603;S;S
17407;S;
69019;S;
68599;S;S
17663;S;
9895;S;
34445;S;S
33283;S;
50033;S;
33560;S;S
33659;S;
4866;S;S
6653;S;
68668;S;S
494;S;
24195;S;
27797;S;
33259;S;S
34086;S;
31328;S;
4209;S;S
45072;S;S
32864;S;S
15083;S;S
21068;S;S
42716;S;
46246;S;S
61691;S;S
37655;S;
59715;S;
7690;S;
49010;S;
2356;S;S
46235;S;
58310;S;
34663;S;
34663;S;
32531;S;
52567;S;
34643;S;
5076;S;S
29092;S;
6871;S;S
2367;S;S
57741;S;
16011;S;
16011;S;S
49792;S;
61268;S;S
18005;S;S
34173;S;S
43517;S;
22858;S;S
8738;S;S
29096;S;S
50950;S;
8792;S;S
50655;S;
54897;S;
54520;S;S
39614;S;
50558;S;S
8727;S;
17076;S;S
24400;S;S
29432;S;
32976;S;
14062;S;
58711;S;S
4016;S;S
24294;S;S
43711;S;
61287;S;
1280;S;
64188;S;
34234;S;S
3594;S;
3594;S;S
14591;S;
54785;S;S
43904;S;
68120;S;
58492;S;S
672;S;S
28428;S;
20574;S;
16863;S;S
43857;S;
58380;S;S
37625;S;S
24125;S;S
9834;S;
17631;S;S
46244;S;S
59838;S;S
38789;S;
32820;S;
16048;S;S
44172;S;S
34455;S;
39189;S;S
40523;S;S
16691;S;
47882;S;S
43565;S;
6388;S;S
37672;S;S
4773;S;
39415;S;
5441;S;S
61844;S;
46202;S;
73414;S;S
9476;S;
22532;S;S
49440;S;
16647;S;
4157;S;S
4242;S;S
20044;S;S
28006;S;
39382;S;
9666;S;S
51701;S;
14337;S;S
26062;S;S
5884;S;S
52377;S;
13864;S;S
18483;S;S
58258;S;S
9178;S;S
5238;S;S
34625;S;S
13843;S;S
2497;S;S
51014;S;
51014;S;
18437;S;S
42673;S;
47979;S;S
4878;S;S
13667;S;S
13044;S;S
34620;S;
995;S;S
60235;S;
47445;S;S
71970;S;
67503;S;
9952;S;
67306;S;
32912;S;
34401;S;S
1049;S;S
40455;S;S
10142;S;
33088;S;
51103;S;S
20959;S;S
3911;S;S
24714;S;S
13722;S;S
34236;S;S
27011;S;S
34469;S;S
18441;S;S
34256;S;
17347;S;S
10055;S;S
72030;S;
48949;S;
26901;S;S
13251;S;S
42803;S;
13606;S;S
25009;S;S
49483;S;S
54459;S;S
54459;S;
53558;S;
5021;S;S
49665;S;
65721;S;S
68794;S;
17017;S;S
8750;S;
8750;S;S
26967;S;
34474;S;
23221;S;
9579;S;S
9731;S;
49014;S;
31175;S;
48977;S;
4147;S;
28871;S;
5432;S;S
39166;S;S
5075;S;
4776;S;S
34465;S;S
12712;S;S
8587;S;
8587;S;S
17041;S;
58317;S;
8044;S;S
10164;S;
66308;S;
32760;S;S
20524;S;S
58414;S;
44722;S;
20093;S;
68822;S;
65327;S;S
914;S;
60346;S;S
60346;S;
50898;S;
61875;S;
39277;S;
33382;S;S
13846;S;
67976;S;
20605;S;S
43483;S;S
71972;S;
59693;S;
49615;S;S
14286;S;S
48026;S;S
17308;S;S
20604;S;S
61931;S;
60384;S;S
28982;S;S
8352;S;
4208;S;S
18163;S;S
8555;S;S
58378;S;
27781;S;
61219;S;
1002;S;
43510;S;
24525;S;S
44947;S;
2067;S;S
44832;S;
784;S;S
17355;S;
14879;S;S
27267;S;
1809;S;S
39223;S;S
52333;S;
65189;S;S
46080;S;
56188;S;
59328;S;
9292;S;S
46013;S;S
42787;S;S
48011;S;S
14801;S;S
61734;S;
68245;S;S
42672;S;S
8192;S;S
54898;S;S
49915;S;
69030;S;
15084;S;
8145;S;
63614;S;
49026;S;
50659;S;S
43710;S;
42914;S;
28234;S;
28234;S;S
17182;S;
17182;S;S
12409;S;S
3818;S;S
17485;S;S
17485;S;
34492;S;
61943;S;S
9980;S;S
27277;S;S
63404;S;
3563;S;
25167;S;
64560;S;
61953;S;
32372;S;S
27730;S;S
14661;S;S
2378;S;
24717;S;
29227;S;S
8731;S;
42788;S;S
33007;S;
23635;S;S
1260;S;S
29134;S;
24715;S;S
31428;S;
21148;S;S
49107;S;
27731;S;
20635;S;
17451;S;
20998;S;S
32974;S;
64897;S;
10247;S;S
20245;S;
1276;S;
47296;S;S
44725;S;S
20526;S;
28018;S;S
830;S;S
28257;S;S
10034;S;
20909;S;
34209;S;S
53807;S;S
42623;S;
29384;S;S
29406;S;
25049;S;S
42571;S;
38799;S;
29474;S;
4443;S;S
43940;S;
31423;S;S
31423;S;
12426;S;S
47392;S;S
49525;S;
58507;S;
45572;S;
29447;S;
57711;S;S
10118;S;
7465;S;
55098;S;
34749;S;S
49648;S;
60162;S;
1310;S;
6906;S;
6906;S;S
63456;S;
28231;S;
7148;S;S
9317;S;S
7910;S;S
52289;S;
49471;S;
71833;S;S
39301;S;
60115;S;S
9712;S;
38754;S;
38739;S;
33193;S;
24059;S;S
29065;S;S
20595;S;S
7653;S;S
7653;S;
18346;S;
13519;S;S
2274;S;S
25942;S;
40405;S;S
38841;S;
24942;S;
46520;S;
58490;S;
15090;S;
61288;S;
69275;S;S
24930;S;
73306;S;
4929;S;S
52348;S;S
24375;S;S
60248;S;S
65871;S;S
37933;S;S
21113;S;S
21113;S;
14191;S;S
65674;S;S
55244;S;
2281;S;S
60373;S;
17952;S;S
8538;S;S
1947;S;S
191;S;S
59314;S;S
56171;S;
18432;S;S
1240;S;S
60364;S;S
37755;S;
39137;S;
16142;S;
54591;S;
25624;S;
52297;S;S
60366;S;S
34751;S;
32945;S;
4914;S;S
55995;S;
21112;S;S
69614;S;
50782;S;
61581;S;S
61457;S;S
18681;S;S
26747;S;
34310;S;S
71498;S;S
20971;S;S
548;S;
20884;S;
18282;S;S
38792;S;S
40668;S;S
64479;S;
35091;S;S
56167;S;
21027;S;S
568;S;S
8393;S;
35833;S;S
1591;S;
55750;S;
13234;S;S
32429;S;
34770;S;S
69142;S;
65041;S;S
45781;S;S
16060;S;
10322;S;S
51435;S;
25004;S;
61919;S;
56172;S;
52721;S;
29420;S;S
49631;S;
17443;S;
65637;S;S
32779;S;
59998;S;S
4796;S;S
2417;S;
25320;S;
574;S;S
29082;S;S
8710;S;S
56022;S;
55850;S;
5656;S;S
56343;S;S
43894;S;S
6923;S;S
20356;S;
35513;S;
7757;S;S
44170;S;S
54462;S;S
56001;S;S
48323;S;S
45118;S;
56068;S;S
13951;S;
13951;S;
40502;S;
22840;S;
25625;S;
20735;S;
35165;S;
56286;S;
18504;S;S
66101;S;
4447;S;S
24132;S;S
35783;S;
44251;S;
22927;S;S
24139;S;
38867;S;
71619;S;
50905;S;
50905;S;
9284;S;S
4812;S;
14750;S;S
46129;S;S
20113;S;S
20657;S;S
59833;S;
52495;S;
58574;S;
21099;S;S
68084;S;
29177;S;S
44067;S;S
35150;S;
1139;S;
1197;S;S
46203;S;S
39230;S;S
2288;S;
1458;S;
68687;S;
31154;S;
31483;S;
56055;S;
43766;S;
35654;S;
786;S;S
45304;S;
17985;S;
50581;S;S
8084;S;S
24701;S;
9390;S;
9390;S;
61718;S;
39063;S;
31479;S;
55779;S;S
40336;S;
9355;S;S
27261;S;
1701;S;S
